,region,AEZ,Daily,Annual,
7,India,1,15.579,5.686335,AlgaeAEZ01
22,India,2,16.712,6.09988,AlgaeAEZ02
32,India,3,15.985,5.834525,AlgaeAEZ03
47,India,4,16.404,5.98746,AlgaeAEZ04
63,India,5,16.733,6.107545,AlgaeAEZ05
79,India,6,16.7294,6.106231,AlgaeAEZ06
96,India,7,15.183,5.541795,AlgaeAEZ07
113,India,8,16.3635,5.9726775,AlgaeAEZ08
130,India,9,16.184,5.90716,AlgaeAEZ09
148,India,10,16.803,6.133095,AlgaeAEZ10
166,India,11,17.1549,6.2615385,AlgaeAEZ11
184,India,12,17.7692,6.485758,AlgaeAEZ12
48,Indonesia,4,12.91,4.71215,AlgaeAEZ04
64,Indonesia,5,13.165,4.805225,AlgaeAEZ05
80,Indonesia,6,15.133,5.523545,AlgaeAEZ06
149,Japan,10,12.582,4.59243,AlgaeAEZ10
167,Japan,11,11.7348,4.283202,AlgaeAEZ11
185,Japan,12,14.35565,5.23981225,AlgaeAEZ12
8,Mexico,1,21.35915,7.79608975,AlgaeAEZ01
23,Mexico,2,19.46275,7.10390375,AlgaeAEZ02
33,Mexico,3,20.443,7.461695,AlgaeAEZ03
49,Mexico,4,21.0265,7.6746725,AlgaeAEZ04
65,Mexico,5,19.37665,7.07247725,AlgaeAEZ05
81,Mexico,6,16.789,6.127985,AlgaeAEZ06
97,Mexico,7,20.229,7.383585,AlgaeAEZ07
114,Mexico,8,20.377,7.437605,AlgaeAEZ08
131,Mexico,9,20.958,7.64967,AlgaeAEZ09
150,Mexico,10,21.047,7.682155,AlgaeAEZ10
168,Mexico,11,19.8795,7.2560175,AlgaeAEZ11
9,Middle East,1,20.7598,7.577327,AlgaeAEZ01
34,Middle East,3,15.301,5.584865,AlgaeAEZ03
98,Middle East,7,18.981,6.928065,AlgaeAEZ07
115,Middle East,8,18.11275,6.61115375,AlgaeAEZ08
132,Middle East,9,17.0955,6.2398575,AlgaeAEZ09
