Nanno_30cm_BIO_ANN_AVE_1,Nanno_30cm_BIO_WIN_AVE,Nanno_30cm_BIO_SPR_AVE,Nanno_30cm_BIO_SUM_AVE,Nanno_30cm_BIO_FAL_AVE,AEZ_CODE,REG32_CODE
15.584,11.903,17.033,14.45,18.947,10,31
15.584,11.903,17.033,14.45,18.947,10,31
12.77,5.6,14.47,14.723,16.283,10,31
15.506,13.017,16.647,12.79,19.573,10,31
15.506,13.017,16.647,12.79,19.573,10,31
15.506,13.017,16.647,12.79,19.573,10,31
16.035,22.113,15.877,4.833,21.32,10,31
15.705,15.467,16.227,10.933,20.193,10,31
15.705,15.467,16.227,10.933,20.193,10,31
12.88,5.407,13.447,14.077,18.587,10,31
16.035,22.113,15.877,4.833,21.32,10,31
15.705,15.467,16.227,10.933,20.193,10,31
13.313,6.683,13.88,13.993,18.693,10,31
13.313,6.683,13.88,13.993,18.693,10,31
14.065,8.637,14.963,13.41,19.25,10,31
14.046,8.817,14.487,13.43,19.45,10,31
14.046,8.817,14.487,13.43,19.45,10,31
14.065,8.637,14.963,13.41,19.25,10,31
14.046,8.817,14.487,13.43,19.45,10,31
14.487,10.45,15.09,12.667,19.743,10,31
16.026,21.457,15.867,5.973,20.807,10,31
14.487,10.45,15.09,12.667,19.743,10,31
15.48,18.12,15.75,7.467,20.583,10,31
15.48,18.12,15.75,7.467,20.583,10,31
15.064,13.183,15.223,11.537,20.317,10,31
15.064,13.183,15.223,11.537,20.317,10,31
15.362,15.29,15.29,10.373,20.493,10,31
15.362,15.29,15.29,10.373,20.493,10,31
15.362,15.29,15.29,10.373,20.493,10,31
15.362,15.29,15.29,10.373,20.493,10,31
15.835,18.873,15.397,8.463,20.607,10,31
15.69,17.617,15.36,9.2,20.583,10,31
15.548,18.61,15.37,7.807,20.407,10,31
15.835,18.873,15.397,8.463,20.607,10,31
15.835,18.873,15.397,8.463,20.607,10,31
15.69,17.617,15.36,9.2,20.583,10,31
15.675,19.99,15.193,7.263,20.253,10,31
15.675,19.99,15.193,7.263,20.253,10,31
15.682,20.03,15.213,7.207,20.28,10,31
15.682,20.03,15.213,7.207,20.28,10,31
15.591,18.717,15.23,7.997,20.42,10,31
15.675,19.99,15.193,7.263,20.253,10,31
15.675,19.99,15.193,7.263,20.253,10,31
15.682,20.03,15.213,7.207,20.28,10,31
15.682,20.03,15.213,7.207,20.28,10,31
15.226,22.077,14.46,4.6,19.77,10,31
15.402,20.83,14.93,6.14,19.707,10,31
15.402,20.83,14.93,6.14,19.707,10,31
15.294,20.887,14.803,5.66,19.83,10,31
15.226,22.077,14.46,4.6,19.77,10,31
15.402,20.83,14.93,6.14,19.707,10,31
15.402,20.83,14.93,6.14,19.707,10,31
14.85,21.847,14.173,3.98,19.403,10,31
14.845,21.02,14.437,4.723,19.2,10,31
14.845,21.02,14.437,4.723,19.2,10,31
14.85,21.847,14.173,3.98,19.403,10,31
14.845,21.02,14.437,4.723,19.2,10,31
14.845,21.02,14.437,4.723,19.2,10,31
14.62,21.237,14.137,3.897,19.213,10,31
14.59,21.057,14.137,4.103,19.067,10,31
14.59,21.057,14.137,4.103,19.067,10,31
14.62,21.237,14.137,3.897,19.213,10,31
14.59,21.057,14.137,4.103,19.067,10,31
14.59,21.057,14.137,4.103,19.067,10,31
14.41,21.117,13.88,3.697,18.947,10,31
14.14,20.637,13.713,3.24,18.97,10,31
14.073,21.013,13.49,2.987,18.8,10,31
14.073,21.013,13.49,2.987,18.8,10,31
13.939,21.59,13.067,2.453,18.65,10,31
13.876,21.31,13.133,2.413,18.647,10,31
13.876,21.31,13.133,2.413,18.647,10,31
13.939,21.59,13.067,2.453,18.65,10,31
13.72,22.447,12.48,1.72,18.233,10,31
13.704,22.617,12.353,1.687,18.16,10,31
13.704,22.617,12.353,1.687,18.16,10,31
13.72,22.447,12.48,1.72,18.233,10,31
13.704,22.617,12.353,1.687,18.16,10,31
13.704,22.617,12.353,1.687,18.16,10,31
13.176,23.37,11.287,0.927,17.117,10,31
13.176,23.37,11.287,0.927,17.117,10,31
13.176,23.37,11.287,0.927,17.117,10,31
12.993,23.47,11.083,0.923,16.497,10,31
12.812,23.453,10.787,0.897,16.11,10,31
12.812,23.453,10.787,0.897,16.11,10,31
