Nanno_30cm_BIO_ANN_AVE_1,Nanno_30cm_BIO_WIN_AVE,Nanno_30cm_BIO_SPR_AVE,Nanno_30cm_BIO_SUM_AVE,Nanno_30cm_BIO_FAL_AVE,AEZ_CODE,REG32_CODE
15.09,5.893,17.94,21.573,14.953,9,3
17.779,9.167,21.243,23.773,16.937,9,3
17.779,9.167,21.243,23.773,16.937,9,3
17.059,7.737,20.753,23.377,16.373,9,3
14.285,3.95,17.173,21.753,14.263,9,3
15.09,5.893,17.94,21.573,14.953,9,3
16.153,5.707,19.857,23.58,15.477,9,3
16.153,5.707,19.857,23.58,15.477,9,3
14.653,2.823,18.467,23.403,13.92,9,3
15.078,3.87,18.88,23.313,14.25,9,3
14.113,2.273,17.73,23.133,13.317,9,3
14.113,2.273,17.73,23.133,13.317,9,3
12.717,0.797,15.48,22.52,12.073,9,3
12.717,0.797,15.48,22.52,12.073,9,3
13.923,2.683,17.227,22.223,13.56,9,3
18.34,9.96,21.67,24.427,17.303,9,3
16.85,7.377,20.487,23.553,15.983,9,3
16.85,7.377,20.487,23.553,15.983,9,3
16.153,5.707,19.857,23.58,15.477,9,3
16.153,5.707,19.857,23.58,15.477,9,3
14.653,2.823,18.467,23.403,13.92,9,3
14.653,2.823,18.467,23.403,13.92,9,3
14.812,3.207,18.597,23.327,14.117,9,3
14.812,3.207,18.597,23.327,14.117,9,3
14.555,2.757,18.26,23.443,13.763,9,3
14.555,2.757,18.26,23.443,13.763,9,3
15.078,3.87,18.88,23.313,14.25,9,3
15.078,3.87,18.88,23.313,14.25,9,3
14.113,2.273,17.73,23.133,13.317,9,3
14.113,2.273,17.73,23.133,13.317,9,3
12.728,0.93,15.217,22.383,12.383,9,3
12.728,0.93,15.217,22.383,12.383,9,3
13.203,1.467,16.157,22.367,12.823,9,3
13.203,1.467,16.157,22.367,12.823,9,3
13.923,2.683,17.227,22.223,13.56,9,3
13.923,2.683,17.227,22.223,13.56,9,3
18.909,11.303,22.027,24.817,17.49,9,3
18.909,11.303,22.027,24.817,17.49,9,3
18.555,10.35,21.823,24.667,17.38,9,3
18.663,10.657,21.883,24.667,17.44,9,3
18.34,9.96,21.67,24.427,17.303,9,3
18.34,9.96,21.67,24.427,17.303,9,3
16.85,7.377,20.487,23.553,15.983,9,3
16.85,7.377,20.487,23.553,15.983,9,3
14.702,2.587,18.497,23.73,13.993,9,3
14.702,2.587,18.497,23.73,13.993,9,3
14.443,2.253,18.19,23.717,13.613,9,3
14.443,2.253,18.19,23.717,13.613,9,3
14.357,1.993,18.42,23.71,13.307,9,3
14.357,1.993,18.42,23.71,13.307,9,3
14.437,2.283,18.513,23.47,13.483,9,3
14.437,2.283,18.513,23.47,13.483,9,3
15.523,4.333,19.717,23.417,14.627,9,3
16.266,6.083,19.923,23.833,15.22,9,3
16.266,6.083,19.923,23.833,15.22,9,3
15.448,4.643,18.907,23.957,14.29,9,3
14.84,3.18,18.38,23.853,13.947,9,3
14.426,2.35,18.127,23.71,13.513,9,3
14.426,2.35,18.127,23.71,13.513,9,3
14.702,2.587,18.497,23.73,13.993,9,3
14.443,2.253,18.19,23.717,13.613,9,3
14.443,2.253,18.19,23.717,13.613,9,3
14.357,1.993,18.42,23.71,13.307,9,3
14.357,1.993,18.42,23.71,13.307,9,3
16.287,5.37,19.973,24.363,15.44,9,3
16.266,6.083,19.923,23.833,15.22,9,3
16.266,6.083,19.923,23.833,15.22,9,3
18.563,9.81,22.33,24.413,17.697,9,3
18.563,9.81,22.33,24.413,17.697,9,3
14.902,2.593,18.97,24,14.043,9,3
14.902,2.593,18.97,24,14.043,9,3
15.383,3.743,19.537,23.737,14.517,9,3
15.383,3.743,19.537,23.737,14.517,9,3
19.418,11.697,22.937,24.66,18.377,9,3
19.418,11.697,22.937,24.66,18.377,9,3
18.563,9.81,22.33,24.413,17.697,9,3
18.563,9.81,22.33,24.413,17.697,9,3
15.765,3.75,19.863,24.343,15.1,9,3
14.902,2.593,18.97,24,14.043,9,3
14.902,2.593,18.97,24,14.043,9,3
16.436,6.353,19.65,23.5,16.237,9,3
16.436,6.353,19.65,23.5,16.237,9,3
17.023,7.107,20.293,24.127,16.567,9,3
17.023,7.107,20.293,24.127,16.567,9,3
18.392,9.893,22.013,24.027,17.63,9,3
18.392,9.893,22.013,24.027,17.63,9,3
18.285,9.273,21.983,24.43,17.457,9,3
18.285,9.273,21.983,24.43,17.457,9,3
17.408,6.95,21.57,24.407,16.707,9,3
17.408,6.95,21.57,24.407,16.707,9,3
14.472,1.49,18.48,24.187,13.73,9,3
14.943,2.63,19.317,23.663,14.163,9,3
17.688,9.493,20.857,23.117,17.283,9,3
16.436,6.353,19.65,23.5,16.237,9,3
16.436,6.353,19.65,23.5,16.237,9,3
18.392,9.893,22.013,24.027,17.63,9,3
18.285,9.273,21.983,24.43,17.457,9,3
17.408,6.95,21.57,24.407,16.707,9,3
17.408,6.95,21.57,24.407,16.707,9,3
16.033,4.23,19.963,24.3,15.643,9,3
14.698,1.817,18.583,24.233,14.16,9,3
