Nanno_30cm_BIO_ANN_AVE_1,Nanno_30cm_BIO_WIN_AVE,Nanno_30cm_BIO_SPR_AVE,Nanno_30cm_BIO_SUM_AVE,Nanno_30cm_BIO_FAL_AVE,AEZ_CODE,REG32_CODE
14.618,6.507,20.073,16.587,15.307,10,13
12.85,4.617,17.843,14.387,14.557,10,13
12.85,4.617,17.843,14.387,14.557,10,13
12.469,3.657,15.993,16.457,13.773,10,13
12.469,3.657,15.993,16.457,13.773,10,13
12.486,1.48,16.973,19.02,12.47,10,13
11.639,0.327,14.013,21.553,10.663,10,13
11.935,0.93,15.577,19.767,11.463,10,13
11.935,0.93,15.577,19.767,11.463,10,13
11.973,1.863,17.323,16.173,12.533,10,13
13.044,2.103,17.78,18.9,13.393,10,13
14.744,4.217,19.54,21.153,14.063,10,13
13.573,3.753,19.813,16.933,13.793,10,13
13.573,3.753,19.813,16.933,13.793,10,13
13.154,2.737,19.46,17.27,13.15,10,13
12.781,1.683,18.647,18.473,12.32,10,13
12.781,1.683,18.647,18.473,12.32,10,13
12.504,1.473,18.033,18.427,12.083,10,13
12.504,1.473,18.033,18.427,12.083,10,13
12.85,4.617,17.843,14.387,14.557,10,13
12.85,4.617,17.843,14.387,14.557,10,13
12.469,3.657,15.993,16.457,13.773,10,13
12.469,3.657,15.993,16.457,13.773,10,13
13.388,4.41,17.773,17.167,14.203,10,13
11.639,0.327,14.013,21.553,10.663,10,13
11.639,0.327,14.013,21.553,10.663,10,13
11.935,0.93,15.577,19.767,11.463,10,13
11.935,0.93,15.577,19.767,11.463,10,13
11.973,1.863,17.323,16.173,12.533,10,13
11.973,1.863,17.323,16.173,12.533,10,13
13.044,2.103,17.78,18.9,13.393,10,13
13.644,2.12,17.123,22.223,13.11,10,13
15.617,5.183,19.523,23.387,14.373,10,13
14.744,4.217,19.54,21.153,14.063,10,13
14.744,4.217,19.54,21.153,14.063,10,13
13.573,3.753,19.813,16.933,13.793,10,13
13.573,3.753,19.813,16.933,13.793,10,13
13.154,2.737,19.46,17.27,13.15,10,13
13.154,2.737,19.46,17.27,13.15,10,13
12.781,1.683,18.647,18.473,12.32,10,13
12.504,1.473,18.033,18.427,12.083,10,13
12.868,6.597,19.057,10.727,15.09,10,13
12.744,6.067,18.437,11.343,15.13,10,13
12.839,6.287,18.41,11.417,15.243,10,13
13.062,5.993,18.29,12.913,15.047,10,13
13.062,5.993,18.29,12.913,15.047,10,13
12.913,4.187,16.547,17.137,13.783,10,13
13.133,4.97,19.217,13.91,14.44,10,13
12.279,1.18,15.52,20.38,12.04,10,13
12.279,1.18,15.52,20.38,12.04,10,13
12.841,2.197,16.42,20.147,12.6,10,13
12.841,2.197,16.42,20.147,12.6,10,13
13.259,2.76,17.353,19.67,13.253,10,13
13.259,2.76,17.353,19.67,13.253,10,13
17.46,8.793,21.597,22.847,16.607,10,13
16.443,6.7,20.82,22.64,15.613,10,13
16.443,6.7,20.82,22.64,15.613,10,13
15.311,5.553,20.27,20.44,14.98,10,13
15.311,5.553,20.27,20.44,14.98,10,13
13.965,3.88,19.923,17.837,14.22,10,13
13.965,3.88,19.923,17.837,14.22,10,13
13.502,3.147,19.697,17.47,13.693,10,13
13.502,3.147,19.697,17.47,13.693,10,13
13.053,2.437,19.133,17.503,13.14,10,13
13.053,2.437,19.133,17.503,13.14,10,13
12.72,2.27,18.757,16.767,13.087,10,13
12.754,6.297,18.66,10.903,15.16,10,13
12.744,6.067,18.437,11.343,15.13,10,13
12.839,6.287,18.41,11.417,15.243,10,13
13.062,5.993,18.29,12.913,15.047,10,13
13.062,5.993,18.29,12.913,15.047,10,13
12.913,4.187,16.547,17.137,13.783,10,13
13.133,4.97,19.217,13.91,14.44,10,13
13.133,4.97,19.217,13.91,14.44,10,13
12.785,1.953,16.577,19.783,12.827,10,13
12.785,1.953,16.577,19.783,12.827,10,13
12.279,1.18,15.52,20.38,12.04,10,13
12.279,1.18,15.52,20.38,12.04,10,13
12.841,2.197,16.42,20.147,12.6,10,13
12.841,2.197,16.42,20.147,12.6,10,13
13.259,2.76,17.353,19.67,13.253,10,13
13.259,2.76,17.353,19.67,13.253,10,13
13.793,3.487,18.523,18.833,14.327,10,13
14.408,3.523,18.76,20.88,14.463,10,13
17.46,8.793,21.597,22.847,16.607,10,13
16.443,6.7,20.82,22.64,15.613,10,13
